lng,lat,OBJEKT_NR,OBJEKTBEZ,BAUMNUMMER,BAUMART,BOTANISCHER_NAME,PFLANZJAHR
6.54892405300529,51.323899912096,0170654,NAUENWEG,79,Kaiserlinde,Tilia vulgaris Pallida,2016
6.56036937749357,51.3172416814485,0570571,LEYSNERSTRAßE,30,Säulenförmige Robinie,Robinia pseudoacacia Pyramidalis,2016
6.57122469194213,51.3390976611715,0470565,LESSINGSTRAßE,4,Kegel-Robinie,Robinia pseudoacacia Bessoniana,2016
6.57102372883782,51.3376165386131,0470569,LEYENTALSTRAßE,16,Schwedische Mehlbeere,Sorbus intermedia,2016
6.57095245705116,51.3376564308602,0470569,LEYENTALSTRAßE,17,Schwedische Mehlbeere,Sorbus intermedia,2016
6.5717113942383,51.3555505250867,0270655,NASSAUERRING,548,Gemeine Hainbuche,Carpinus betulus,2016
6.56816552251199,51.3408646372981,0270637,MOERSER STRAßE,277,Europäische Hopfenbuche,Ostrya carpinifolia,2016
6.56917383058843,51.341275188653,0470637,MOERSER STRAßE,26,Europäische Hopfenbuche,Ostrya carpinifolia,2016
6.56955541192922,51.3414899609528,0470637,MOERSER STRAßE,31,Europäische Hopfenbuche,Ostrya carpinifolia,2016
6.56823922188289,51.340910121552,0270637,MOERSER STRAßE,9006,Europäische Hopfenbuche,Ostrya carpinifolia,2016
6.54928980006607,51.3224878347689,0170654,NAUENWEG,68,Kaiserlinde,Tilia vulgaris Pallida,2016
6.56802807449795,51.3407682187359,0270637,MOERSER STRAßE,279,Europäische Hopfenbuche,Ostrya carpinifolia,2016
6.56624598358733,51.3512641584248,0270536,KRÜLLSDYK,26,Berg-Ahorn,Acer pseudoplatanus,2016
6.57259073618122,51.3171876883199,0570563,LERCHENFELDSTRAßE,5,Kaiserlinde,Tilia vulgaris Pallida,2016
6.57321616175434,51.3718055558462,0870599,LUITER WEG,9,Stiel-Eiche,Quercus robur,2016
6.6028917764976,51.3477071650977,0870782,SCHEIBLERSTRAßE,9,Weiße Maulbeere,Morus alba,2016
6.57438070328968,51.325200735777,0570758,RITTERSTRAßE,3,Säulen-Feldahorn,Acer campestre Green Column,2016
6.57317765867378,51.3247487696053,0570758,RITTERSTRAßE,7,Säulen-Feldahorn,Acer campestre Green Column,2016
6.54959750988341,51.3578887253457,0270798,SCHROERSDYK,39,Stiel-Eiche,Quercus robur,2016
6.60650632810619,51.3302416361848,0770792,SCHMIEDESTRAßE,44,Feld-Ahorn,Acer campestre,2016
6.56601165986685,51.3229369831877,0570758,RITTERSTRAßE,21,Säulen-Feldahorn,Acer campestre Green Column,2016
6.60544660195726,51.3310989589344,0770792,SCHMIEDESTRAßE,31,Feld-Ahorn,Acer campestre,2016
6.54976087941095,51.3579886316013,0270798,SCHROERSDYK,37,Stiel-Eiche,Quercus robur,2016
6.60294983864492,51.3474635100172,0870782,SCHEIBLERSTRAßE,8,Weiße Maulbeere,Morus alba,2016
6.56766273624431,51.3230862421031,0570758,RITTERSTRAßE,44,Säulen-Feldahorn,Acer campestre Green Column,2016
6.55171872986733,51.3305046561027,0170732,PRINZ-FERDINAND-STRAßE,76,Ginkgobaum (männliche Form),Ginkgo biloba (m),2016
6.55099083343242,51.3322293748201,0170732,PRINZ-FERDINAND-STRAßE,26,Spitz-Ahorn,Acer platanoides,2016
