lng,lat,OBJEKT_NR,OBJEKTBEZ,BAUMNUMMER,BAUMART,BOTANISCHER_NAME,PFLANZJAHR,icon,color
6.56371317240744,51.320571523013,0570601,LUTHERPLATZ,55,Yoshino-Kirsche,Prunus x yedoensis,2017,fa-leaf,green
6.55662029308118,51.3378444381324,0470572,VON-ITTER-PLATZ,9,Sorte der Stechpalme,Ilex mutchagara 'Nellie R. Stevens',2017,fa-leaf,green
6.55632551162748,51.3377865379471,0470572,VON-ITTER-PLATZ,10,Sorte der Stechpalme,Ilex mutchagara 'Nellie R. Stevens',2017,fa-leaf,green
6.55682590118798,51.3378829934392,0470572,VON-ITTER-PLATZ,8,Sorte der Stechpalme,Ilex mutchagara 'Nellie R. Stevens',2017,fa-leaf,green
6.55740569697211,51.3377786335579,0470572,VON-ITTER-PLATZ,2,Sorte der Stechpalme,Ilex mutchagara 'Nellie R. Stevens',2017,fa-leaf,green
6.55733931069904,51.3379078602676,0470572,VON-ITTER-PLATZ,3,Sorte der Stechpalme,Ilex mutchagara 'Nellie R. Stevens',2017,fa-leaf,green
6.55487210338435,51.3151576086925,0570561,LEHMHEIDE,24,Spitz-Ahorn,Acer platanoides,2017,fa-leaf,green
6.55733703196888,51.3380378124658,0470572,VON-ITTER-PLATZ,4,Sorte der Stechpalme,Ilex mutchagara 'Nellie R. Stevens',2017,fa-leaf,green
6.5639515648363,51.3205982291281,0570601,LUTHERPLATZ,57,Yoshino-Kirsche,Prunus x yedoensis,2017,fa-leaf,green
6.64339724285064,51.351830088473,0970651,MÜNDELHEIMER STRASSE,4,Kegel- Linde Glenleven,Tilia cordata Glenleven,2017,fa-leaf,green
6.56292295824078,51.3204773307301,0570601,LUTHERPLATZ,48,Yoshino-Kirsche,Prunus x yedoensis,2017,fa-leaf,green
6.54884582970229,51.3241880271452,0170654,NAUENWEG,81,Kaiserlinde,Tilia vulgaris Pallida,2017,fa-leaf,green
6.56417702268014,51.3206240866919,0570601,LUTHERPLATZ,59,Yoshino-Kirsche,Prunus x yedoensis,2017,fa-leaf,green
6.56326214334154,51.3205170507334,0570601,LUTHERPLATZ,51,Yoshino-Kirsche,Prunus x yedoensis,2017,fa-leaf,green
6.56337562672668,51.3205308947762,0570601,LUTHERPLATZ,52,Yoshino-Kirsche,Prunus x yedoensis,2017,fa-leaf,green
6.64347304081088,51.3627534718733,0970523,KONRADSTRAßE,21,Sorte der Japanische Zierkirsche,Prunus serrulata Sunset Boulevard,2017,fa-leaf,green
6.56414401919293,51.3211445233303,0570601,LUTHERPLATZ,7,Yoshino-Kirsche,Prunus x yedoensis,2017,fa-leaf,green
6.54926901989994,51.3324641611003,0170730,PREUßENRING,15,Kaiserlinde,Tilia vulgaris Pallida,2017,fa-leaf,green
6.6025250570858,51.3493523555487,0870782,SCHEIBLERSTRAßE,26,Weiße Maulbeere,Morus alba,2017,fa-leaf,green
6.60250927955531,51.3494544439032,0870782,SCHEIBLERSTRAßE,27,Weiße Maulbeere,Morus alba,2017,fa-leaf,green
6.6026021745102,51.3490677090018,0870782,SCHEIBLERSTRAßE,23,Weiße Maulbeere,Morus alba,2017,fa-leaf,green
6.56295738345522,51.3165343027306,0570745,REINERSWEG,18,Sumpf-Eiche,Quercus palustris,2017,fa-leaf,green
6.60255209854936,51.3492554197319,0870782,SCHEIBLERSTRAßE,25,Weiße Maulbeere,Morus alba,2017,fa-leaf,green
6.60265156487391,51.3488703011899,0870782,SCHEIBLERSTRAßE,21,Weiße Maulbeere,Morus alba,2017,fa-leaf,green
6.55560912298956,51.3244640560624,0170765,ROßSTRAßE,31,Rotblättrige Sorte des Spitz-Ahorn,Acer platanoides Schwedleri,2017,fa-leaf,green
6.6025754968473,51.3491741630459,0870782,SCHEIBLERSTRAßE,24,Weiße Maulbeere,Morus alba,2017,fa-leaf,green
6.63429310514022,51.3349106624746,0770749,RHEINBABENSTRASSE,112,Schmalkronige Gleditschie,Gleditsia triacanthos Skyline,2017,fa-leaf,green
6.60271516959051,51.3486157135837,0870782,SCHEIBLERSTRAßE,19,Weiße Maulbeere,Morus alba,2017,fa-leaf,green
6.53778079344345,51.3291962668738,0170779,ST. TÖNISER STRAßE,8,Stiel-Eiche,Quercus robur,2017,fa-leaf,green
6.64534005562989,51.339738996824,0770750,RHEINFELD,4,Weißbunte Sorte vom Berg-Ahorn,Acer pseudoplatanus Leopoldii,2017,fa-leaf,green
6.64294651056652,51.3564426147949,0970712,PARKSTRAßE,53,Stadt-Linde,Tilia cordata Greenspire,2017,fa-leaf,green
6.64524130164852,51.3397969024812,0770750,RHEINFELD,3,Weißbunte Sorte vom Berg-Ahorn,Acer pseudoplatanus Leopoldii,2017,fa-leaf,green
6.55879745921557,51.3515148217165,0271148,JOSEF-LENDERS-DYK,10,Sorte des Amberbaums,Liquidambar styraciflua Paarl,2017,fa-leaf,green
6.64318221067224,51.35591624936,0970712,PARKSTRAßE,51,Stadt-Linde,Tilia cordata Greenspire,2017,fa-leaf,green
6.55487260954954,51.3082000135055,0670690,OBERSCHLESIENSTRAßE,23,Wollapfel,Malus tschonskii,2017,fa-leaf,green
6.65246381037095,51.3503039925576,0970521,KOLPINGSTRAßE,17,Schwedische Mehlbeere,Sorbus intermedia,2017,fa-leaf,green
6.56752892582368,51.3175823162579,0570913,VOM-BRUCK-PLATZ,12,Kugelrobinie,Robinia pseudoacacia Umbraculifera,2017,fa-leaf,green
6.56743254535759,51.3175611912849,0570913,VOM-BRUCK-PLATZ,13,Kugelrobinie,Robinia pseudoacacia Umbraculifera,2017,fa-leaf,green
6.64020750636644,51.3637838467279,0970940,WEILERSTRAßE,25,Rotdorn,Crataegus laevigata Pauls Scarlet,2017,fa-leaf,green
6.5575417436648,51.3352788931923,0470947,WESTWALL,58,Kaiserlinde,Tilia vulgaris Pallida,2017,fa-leaf,green
6.55689348121893,51.3380174856338,0470931,WEBERSTRAßE,2,Sorte der Stechpalme,Ilex mutchagara 'Nellie R. Stevens',2017,fa-leaf,green
6.59143141452405,51.3367574340672,0770872,TIERGARTENSTRAßE,54,Papier-Birke,Betula papyrifera,2017,fa-leaf,green
6.58789869140901,51.3359597996394,0770872,TIERGARTENSTRAßE,80,Papier-Birke,Betula papyrifera,2017,fa-leaf,green
6.60249521033942,51.3495554445035,0870782,SCHEIBLERSTRAßE,28,Weiße Maulbeere,Morus alba,2017,fa-leaf,green
6.5908270744262,51.3366218961534,0770872,TIERGARTENSTRAßE,59,Papier-Birke,Betula papyrifera,2017,fa-leaf,green
6.62872163743564,51.3601961309968,0970878,TRAARER STRAßE,51,Winter-Linde,Tilia cordata,2017,fa-leaf,green
6.5942314998852,51.3375614897736,0770872,TIERGARTENSTRAßE,142,Papier-Birke,Betula papyrifera,2017,fa-leaf,green
6.56482266353412,51.3278826124792,0470851,SÜDWALL,48,Sumpf-Eiche,Quercus palustris,2017,fa-leaf,green
6.59392661286476,51.3400421739917,0870885,UERDINGER STRAßE,64,Kaiserlinde,Tilia vulgaris Pallida,2017,fa-leaf,green
6.58911195544841,51.3362340126443,0770872,TIERGARTENSTRAßE,71,Papier-Birke,Betula papyrifera,2017,fa-leaf,green
6.59410048524304,51.3375343051693,0770872,TIERGARTENSTRAßE,143,Papier-Birke,Betula papyrifera,2017,fa-leaf,green
6.5969037048825,51.3381640411526,0770872,TIERGARTENSTRAßE,120,Papier-Birke,Betula papyrifera,2017,fa-leaf,green
6.59652697686974,51.3380795453815,0770872,TIERGARTENSTRAßE,123,Papier-Birke,Betula papyrifera,2017,fa-leaf,green
6.6238133791106,51.3232445946078,0771109,HEINRICH-KLAUSMANN-STRAßE,39,Schmalkronige Gleditschie,Gleditsia triacanthos Skyline,2017,fa-leaf,green
