id;title;address;content;type;wish;lat;lng;icon;color
25;Gymnasium Horkesgath;Horkesgath 33;Flachdachsanierungen;Energetische Sanierung;x;51.337299;6.529050;fa-building-o;blue
26;Gymnasium Horkesgath;Horkesgath 33;Einbau Hocheffizienzpumpe;Energetische Sanierung;;51.337299;6.529050;fa-building-o;blue
27;Gymnasium Horkesgath;Horkesgath 33;Sanierung Klassenräume;Raumsanierung;x;51.337299;6.529050;fa-building-o;blue
28;Gymnasium Horkesgath;Horkesgath 33;Sanierung Sanitäranlagen;Sanitär;x;51.337299;6.529050;fa-building-o;blue
29;Realschule Horkesgath;Horkesgath 33;Sanierung Sanitäranlagen;Sanitär;x;51.337299;6.529050;fa-building-o;blue
30;Schulzentrum Horkesgath, Turnhalle 1/2;Horkesgath 33;Sanierung der Lüftungsanlagen Turnhallen;Substanz;x;51.337299;6.529050;fa-building-o;blue
31;Grundschule Horkesgath;Horkesgath 50;Wanddurchbruch Verwaltung;Nutzung;x;51.337299;6.529050;fa-building-o;blue
32;Grundschule Horkesgath;Horkesgath 50;Sanierung Klassenräume, WC und Mensa;Raumsanierung;x;51.337299;6.529050;fa-building-o;blue
33;Grundschule Hülser Str.;Hülser Str. 449;Sanierung Parkettböden;Raumsanierung;;51.351859;6.537767;fa-building-o;blue
34;Grundschule Hülser Str.;Hülser Str. 449;Sanierung Flure und Treppenhaus;Raumsanierung;;51.351859;6.537767;fa-building-o;blue
35;Förderschule Inrather Str.;Inrather Str. 611;Austausch Bodenbelag Überdachung;Verkehrssicherheit;x;51.356808;6.532884;fa-building-o;blue
36;Förderschule Inrather Str.;Inrather Str. 611;Erneuerung Bedachung Überdachung;Substanz;x;51.356808;6.532884;fa-building-o;blue
37;Förderschule Inrather Str.;Inrather Str. 611;Ersatz Seitenteile Überdachung;Substanz;x;51.356808;6.532884;fa-building-o;blue
38;Gymnasium Maria-Sybilla-Merian;Joh. Blum Str. 101;Sanierung Lüftungsanlagen;Substanz;x;51.313316;6.584057;fa-building-o;blue
39;Gymnasium Maria-Sybilla-Merian;Joh. Blum Str. 101;Erneuerung Kleiner Übungsraum;Naturwissenschaft;;51.313316;6.584057;fa-building-o;blue
40;Gymnasium Maria-Sybilla-Merian;Joh. Blum Str. 101;Sanierung Klassenräume;Raumsanierung;x;51.313316;6.584057;fa-building-o;blue
41;Gymnasium Maria-Sybilla-Merian;Joh. Blum Str. 101;Erneuerung Einichtung, Chemie Übung 2;Naturwissenschaft;;51.313316;6.584057;fa-building-o;blue
42;Gymnasium Maria-Sybilla-Merian, Turnhalle;Joh. Blum Str. 101;Dachsanierung;Substanz;x;51.313316;6.584057;fa-building-o;blue
43;Grundschule Joseph-Görres-Str.;Joseph-Görres-Str. 20;Sanierung Sanitäranlagen;Sanitär;x;51.352301;6.645455;fa-building-o;blue
44;Grundschule Joseph-Görres-Str.;Joseph-Görres-Str. 20;Sanierung Parkettböden;Raumsanierung;x;51.352301;6.645455;fa-building-o;blue
