id;address;schooltype;title;content;type;2017;2018;2019;2020;2021;2022;finance;costs;comments;lat;lng;icon;color
53;Freiligrathstr. 47;Grundschule;Brüder-Grimm-Schule;Turnhalle: Sanierung Sanitäranlagen;Sanierung;; ; ; ; ;x;;1120000;;51.333853;6.579489;fa-graduation-cap;blue
54;Freiligrathstr. 47;Grundschule;Brüder-Grimm-Schule;Sanierung Treppenhausfenster;Gebäudehülle;;;;;x;;;1120000;;51.333853;6.579489;fa-graduation-cap;blue
55;Freiligrathstr. 47;Grundschule;Brüder-Grimm-Schule;Schulhof Sanierung Pausenhallendach ;Gebäudehülle;;;;x;;;;1120000;;51.333853;6.579489;fa-graduation-cap;blue
56;Freiligrathstr. 47;Grundschule;Brüder-Grimm-Schule;Ggf. Erweiterung auf Grundlage SEP u. Musterraumprogramm;SEP;;;;;;;;1120000;;51.333853;6.579489;fa-graduation-cap;blue
57;Freiligrathstr. 47;Grundschule;Brüder-Grimm-Schule;Bauunterhalt < 10.000 Euro;Sanierung;;x;x;x;x;x;;1120000;;51.333853;6.579489;fa-graduation-cap;blue
59;Buchenstr. 28;Grundschule;Buchenschule;Notmaßnahme Decken (Rest aus 2017);Sanierung;x;; ;; ; ;;620000;;51.321356;6.560709;fa-graduation-cap;blue
60;Buchenstr. 28;Grundschule;Buchenschule;Notmaßnahme Klassenräume;Sanierung;;;x; ; ; ;;620000;;51.321356;6.560709;fa-graduation-cap;blue
61;Buchenstr. 28;Grundschule;Buchenschule;Digitalisierung;Digitalisierung;;x; ; ; ;;Gute Schule 2020-Mittel;620000;;51.321356;6.560709;fa-graduation-cap;blue
62;Buchenstr. 28;Grundschule;Buchenschule;Sanierung Sanitäranlagen;Sanierung;;x; ; ; ; ;Gute Schule 2020-Mittel;620000;;51.321356;6.560709;fa-graduation-cap;blue
63;Buchenstr. 28;Grundschule;Buchenschule;Sanierung Treppenhäuser u. Flure;Sanierung;; ;x; ; ; ;Gute Schule 2020-Mittel;620000;;51.321356;6.560709;fa-graduation-cap;blue
64;Buchenstr. 28;Grundschule;Buchenschule;Ersatz Pavillons, Prüfung auf Grundlage SEP und Musterraumprog.;Nutzung/SEP;; ; ; ; ; ;;620000;;51.321356;6.560709;fa-graduation-cap;blue
65;Buchenstr. 28;Grundschule;Buchenschule;Schulhofsanierung;Außenanlagen;;;x; ; ;;Gute Schule 2020-Mittel;620000;;51.321356;6.560709;fa-graduation-cap;blue
66;Buchenstr. 28;Grundschule;Buchenschule;Sanierung Klassenräume;Sanierung;; ;x; ; ; ;Gute Schule 2020-Mittel;620000;;51.321356;6.560709;fa-graduation-cap;blue
67;Buchenstr. 28;Grundschule;Buchenschule;Erneuerung Außentüren;Gebäudehülle;; ;x; ; ; ;;620000;;51.321356;6.560709;fa-graduation-cap;blue
68;Buchenstr. 28;Grundschule;Buchenschule;Einbau HAZ;Brandschutz;;;;x;;;;620000;;51.321356;6.560709;fa-graduation-cap;blue
69;Buchenstr. 28;Grundschule;Buchenschule;Brandschutzkonzept und Umsetzung;Brandschutz;;;x;;;;;620000;;51.321356;6.560709;fa-graduation-cap;blue
70;Buchenstr. 28;Grundschule;Buchenschule;Bauunterhalt < 10.000 Euro;Sanierung;;x;x;x;x;x;;620000;;51.321356;6.560709;fa-graduation-cap;blue
72;Buscher Holzweg 62;Grundschule;GGS Buscher Holzweg;Sanierung Sanitäranlagen;Sanierung;;;;; ;x;;840000;;51.375494;6.588768;fa-graduation-cap;blue
73;Buscher Holzweg 62;Grundschule;GGS Buscher Holzweg;Sanierung Klassenräume;Sanierung;; ; ; ;x;;;840000;;51.375494;6.588768;fa-graduation-cap;blue
74;Buscher Holzweg 62;Grundschule;GGS Buscher Holzweg;Digitalisierung;Digitalisierung;;x; ;; ; ;Gute Schule 2020-Mittel;840000;;51.375494;6.588768;fa-graduation-cap;blue
75;Buscher Holzweg 62;Grundschule;GGS Buscher Holzweg;Sanierung Flachdächer;Gebäudehülle;x; ; ; ; ; ;;840000;;51.375494;6.588768;fa-graduation-cap;blue
76;Buscher Holzweg 62;Grundschule;GGS Buscher Holzweg;Sanierung Flure und Treppenhäuser;Sanierung;; ; ; ;x;;;840000;;51.375494;6.588768;fa-graduation-cap;blue
77;Buscher Holzweg 62;Grundschule;GGS Buscher Holzweg;Erneuerung Deckenverkleidung Flurbereich inkl. Beleuchtung und Schottung;Brandschutz;; ;x; ; ; ;;840000;;51.375494;6.588768;fa-graduation-cap;blue
